Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
81256,81210,SAINT-JEAN-DE-VALS,472.0,81,73
09328,09310,VERDUN,1172.0,09,73
76629,76730,SAINT-OUEN-LE-MAUGER,618.0,76,23
27313,27370,LA HARENGERE,364.0,27,23
25202,25560,DOMPIERRE-LES-TILLEULS,1322.0,25,43
09091,09160,CAZAVET,1814.0,09,73
32105,32600,CLERMONT-SAVES,520.0,32,73
45079,45230,LE CHARME,1385.0,45,24
25065,25640,BLARIANS,87.0,25,43
27266,27800,FRANQUEVILLE,320.0,27,23
24398,24360,SAINT-ESTEPHE,2217.0,24,72
37205,37190,SACHE,2794.0,37,24
22101,22450,LANGOAT,1878.0,22,53
04184,04410,SAINT-JURS,3355.0,04,93
12060,12800,CASTELMARY,1178.0,12,73
91685,91700,VILLIERS-SUR-ORGE,178.0,91,11
61175,61250,FORGES,503.0,61,25
02114,02400,BRASLES,737.0,02,22
43213,43620,SAINT-PAL-DE-MONS,2722.0,43,83
09089,09500,CAZALS-DES-BAYLES,469.0,09,73
52342,52700,MORIONVILLIERS,683.0,52,21
22359,22420,TREGROM,1682.0,22,53
2B194,20234,ORTALE,420.0,2B,94
27149,27230,LA CHAPELLE-HARENG,410.0,27,23
39085,39250,CERNIEBAUD,1038.0,39,43
21039,21120,AVELANGES,595.0,21,26
23167,23110,SANNAT,3413.0,23,74
80396,80150,GUESCHART,1297.0,80,22
33210,33890,JUILLAC,579.0,33,72
14553,14260,SAINT-AGNAN-LE-MALHERBE,633.0,14,25
14326,14100,HERMIVAL-LES-VAUX,1402.0,14,25
34248,34270,SAINTE-CROIX-DE-QUINTILLARGUES,657.0,34,91
63085,63230,CHAPDES-BEAUFORT,3175.0,63,83
71369,71150,REMIGNY,245.0,71,26
74299,74290,VEYRIER-DU-LAC,1322.0,74,82
01379,01500,SAINT-MAURICE-DE-REMENS,1036.0,01,82
46054,46240,CANIAC-DU-CAUSSE,3508.0,46,73
61016,61190,AUTHEUIL,628.0,61,25
06070,06620,GREOLIERES,5252.0,06,93
88268,88490,LESSEUX,294.0,88,41
52308,52370,MARANVILLE,1266.0,52,21
